2026-05-02 01:08:27.704 +06:00 [INF] Starting Intersect Client v0.8.0.0-custom+32d39132dace1351f63375b261f241297dd35be8-dirty
2026-05-02 01:08:27.906 +06:00 [INF] Discovered service type: Intersect.Plugins.PluginService
2026-05-02 01:08:27.909 +06:00 [WRN] Directory was specified as a plugin directory but does not exist: 'resources\plugins'
2026-05-02 01:08:27.910 +06:00 [INF] Discovered 0 plugins:

2026-05-02 01:08:29.912 +06:00 [INF] Connecting to 127.0.0.1:5400...
2026-05-02 01:08:29.922 +06:00 [INF] Connected [e9e8b6a9-3686-4b3f-8983-5ccfa19a2cc8].
2026-05-02 01:08:29.940 +06:00 [INF] Connection approved [e9e8b6a9-3686-4b3f-8983-5ccfa19a2cc8].
2026-05-02 01:08:30.026 +06:00 [INF] Updated PermissionSet 'default'
2026-05-02 01:08:30.026 +06:00 [INF] Updated PermissionSet 'admin'
2026-05-02 01:08:34.571 +06:00 [WRN] 'Me' is null.
2026-05-02 01:08:35.197 +06:00 [INF] Built VBO for map 27c6a7b2-4e9f-4316-9a0f-e13ec8e16ba2 'Forest' in 15.1612ms
2026-05-02 01:08:35.219 +06:00 [INF] Built VBO for map c15f8299-8999-471f-9760-388ff4cdec7c 'test' in 6.5471ms
2026-05-02 01:10:40.439 +06:00 [WRN] 'Me' is null.
2026-05-02 01:10:40.439 +06:00 [WRN] 'Me' is null.
2026-05-02 01:10:40.439 +06:00 [WRN] 'Me' is null.
2026-05-02 01:10:40.439 +06:00 [WRN] 'Me' is null.
2026-05-02 01:10:43.642 +06:00 [WRN] 'Me' is null.
2026-05-02 01:10:43.700 +06:00 [WRN] Tried to load entity "30bb442d-1c3d-4f17-b2fc-cf0f177c80e5" (test101) from packet before in-game UI was ready
2026-05-02 01:10:43.700 +06:00 [WRN] Tried to load entity "30bb442d-1c3d-4f17-b2fc-cf0f177c80e5" (test101) from packet before in-game UI was ready
2026-05-02 01:10:43.861 +06:00 [INF] Built VBO for map a31f210c-f5fb-48bf-9db2-45fab2293a4c 'Forest' in 3.8521ms
2026-05-02 01:10:43.864 +06:00 [INF] Built VBO for map 27c6a7b2-4e9f-4316-9a0f-e13ec8e16ba2 'Forest' in 2.5942ms
2026-05-02 01:10:51.675 +06:00 [INF] Built VBO for map c15f8299-8999-471f-9760-388ff4cdec7c 'test' in 1.6024ms
2026-05-02 01:11:33.523 +06:00 [WRN] 'Me' is null.
2026-05-02 01:11:33.554 +06:00 [WRN] Tried to load entity "a584f8b3-24fd-4870-93ac-de51e34b2977" (test101) from packet before in-game UI was ready
2026-05-02 01:11:33.554 +06:00 [WRN] Tried to load entity "a584f8b3-24fd-4870-93ac-de51e34b2977" (test101) from packet before in-game UI was ready
2026-05-02 01:11:33.827 +06:00 [INF] Built VBO for map a31f210c-f5fb-48bf-9db2-45fab2293a4c 'Forest' in 3.5533ms
2026-05-02 01:11:33.829 +06:00 [INF] Built VBO for map 27c6a7b2-4e9f-4316-9a0f-e13ec8e16ba2 'Forest' in 1.7259ms
2026-05-02 01:11:43.609 +06:00 [INF] Built VBO for map c15f8299-8999-471f-9760-388ff4cdec7c 'test' in 1.1744ms
