2026-07-24 12:16:06.988 +02:00 [INF] Starting Intersect Client v0.8.0.0-custom+32d39132dace1351f63375b261f241297dd35be8-dirty
2026-07-24 12:16:07.208 +02:00 [INF] Discovered service type: Intersect.Plugins.PluginService
2026-07-24 12:16:07.211 +02:00 [WRN] Directory was specified as a plugin directory but does not exist: 'resources\plugins'
2026-07-24 12:16:07.212 +02:00 [INF] Discovered 0 plugins:

2026-07-24 12:16:07.652 +02:00 [INF] Graphics pacing configured: targetMode=-1, vsync=false, fixedStep=false, backBuffer=1760x990
2026-07-24 12:16:09.470 +02:00 [INF] Connecting to 127.0.0.1:5400...
2026-07-24 12:16:09.489 +02:00 [INF] Connected [078d8ef6-97ca-4a0f-aea7-90440ae639ca].
2026-07-24 12:16:09.498 +02:00 [INF] Connection approved [078d8ef6-97ca-4a0f-aea7-90440ae639ca].
2026-07-24 12:16:09.602 +02:00 [INF] Updated PermissionSet 'default'
2026-07-24 12:16:15.887 +02:00 [INF] Updated PermissionSet 'admin'
2026-07-24 12:16:15.887 +02:00 [INF] Updating active permission set to 'admin'
2026-07-24 12:16:19.910 +02:00 [WRN] 'Me' is null.
2026-07-24 12:16:20.392 +02:00 [WRN] Failed to deserialized cached data for ObjectCacheKey { Id = Id { Guid = 15601ad4-9f26-4abe-a6c9-3a7eebaa3045 }, Checksum = , Version =  }, will fetch again
2026-07-24 12:16:20.393 +02:00 [WRN] Failed to deserialized cached data for ObjectCacheKey { Id = Id { Guid = d490222a-af25-4a7f-bec3-7ca8016e08d7 }, Checksum = , Version =  }, will fetch again
2026-07-24 12:16:20.394 +02:00 [WRN] Failed to deserialized cached data for ObjectCacheKey { Id = Id { Guid = 000bacda-f0e9-4a92-ab09-e55bd4ad15c1 }, Checksum = , Version =  }, will fetch again
2026-07-24 12:16:20.395 +02:00 [WRN] Failed to deserialized cached data for ObjectCacheKey { Id = Id { Guid = 27c6a7b2-4e9f-4316-9a0f-e13ec8e16ba2 }, Checksum = , Version =  }, will fetch again
2026-07-24 12:16:20.396 +02:00 [WRN] Failed to deserialized cached data for ObjectCacheKey { Id = Id { Guid = f519d3ea-b6f4-4b17-b87a-1dcf003cd3ec }, Checksum = , Version =  }, will fetch again
2026-07-24 12:16:20.399 +02:00 [WRN] Failed to deserialized cached data for ObjectCacheKey { Id = Id { Guid = e341d25d-5ff4-4cd6-bcd5-2f2cda710c86 }, Checksum = , Version =  }, will fetch again
2026-07-24 12:16:21.102 +02:00 [INF] Built VBO for map 15601ad4-9f26-4abe-a6c9-3a7eebaa3045 'Forest' in 34.498ms
2026-07-24 12:16:21.118 +02:00 [INF] Built VBO for map d490222a-af25-4a7f-bec3-7ca8016e08d7 'New Map' in 12.0854ms
2026-07-24 12:16:21.134 +02:00 [INF] Built VBO for map 000bacda-f0e9-4a92-ab09-e55bd4ad15c1 'New Map' in 11.7539ms
2026-07-24 12:16:21.242 +02:00 [INF] Built VBO for map 27c6a7b2-4e9f-4316-9a0f-e13ec8e16ba2 'Forest' in 105.986ms
2026-07-24 12:16:21.281 +02:00 [INF] Built VBO for map e341d25d-5ff4-4cd6-bcd5-2f2cda710c86 'Greenfall Vale' in 36.8379ms
2026-07-24 12:16:21.292 +02:00 [INF] Built VBO for map f519d3ea-b6f4-4b17-b87a-1dcf003cd3ec 'New Map' in 8.5006ms
2026-07-24 12:16:26.528 +02:00 [INF] Client frame profile: measured=265.3fps counter=419 targetMode=-1; interval=3.77/697.52ms avg/max; update=0.19/27.19ms (1.00 calls/frame); draw=3.52/669.04ms; world=2.58/636.79ms [scene=2.30/624.54, scene-detail=[tiles=0.24ms/14.4draws (geometry=0.23ms/14.4draws, water=0.01ms/0.0draws), objects=1.25ms/15.0draws, procedural=0.00ms/0.0draws, entities=0.49ms/0.0draws, effects=0.17ms/3.6draws, weather=0.04ms/0.0draws, other=0.09ms], lighting=0.03/6.52, post=0.06/30.42, overlays=0.09/11.97, other=0.10]; gui=0.91/95.83ms [update=0.83/74.17 (minimap=0.54/53.01 [compact=0.54, fullmap=0.00/0.00], other=0.28), render=0.08/21.65, other=0.00]; finish=0.02/0.84ms; outside-update-draw=0.06ms; draws=46, maps=1, entities=20, lights=3
2026-07-24 12:16:31.535 +02:00 [INF] Built VBO for map 27c6a7b2-4e9f-4316-9a0f-e13ec8e16ba2 'Forest' in 11.5208ms
2026-07-24 12:16:31.596 +02:00 [INF] Client frame profile: measured=128.6fps counter=131 targetMode=-1; interval=7.77/162.50ms avg/max; update=0.26/78.08ms (1.00 calls/frame); draw=7.34/162.42ms; world=6.24/153.88ms [scene=6.03/153.64, scene-detail=[tiles=0.55ms/30.8draws (geometry=0.24ms/30.8draws, water=0.31ms/0.0draws), objects=4.60ms/65.7draws, procedural=0.00ms/0.0draws, entities=0.22ms/0.6draws, effects=0.24ms/2.5draws, weather=0.35ms/0.0draws, other=0.07ms], lighting=0.02/0.07, post=0.04/0.08, overlays=0.06/5.38, other=0.09]; gui=1.07/12.50ms [update=1.02/12.41 (minimap=0.79/12.09 [compact=0.79, fullmap=0.00/0.00], other=0.23), render=0.05/0.19, other=0.00]; finish=0.02/0.83ms; outside-update-draw=0.17ms; draws=125, maps=2, entities=19, lights=3
2026-07-24 12:16:31.899 +02:00 [INF] Built VBO for map 9802b09c-f592-4d93-8e11-d3424500716c 'Deep Forest' in 4.81ms
2026-07-24 12:16:32.394 +02:00 [INF] Built VBO for map 15601ad4-9f26-4abe-a6c9-3a7eebaa3045 'Forest' in 3.353ms
2026-07-24 12:16:32.932 +02:00 [INF] Built VBO for map a31f210c-f5fb-48bf-9db2-45fab2293a4c 'Forest' in 37.6081ms
2026-07-24 12:16:36.601 +02:00 [INF] Client frame profile: measured=124.1fps counter=117 targetMode=-1; interval=8.06/54.29ms avg/max; update=0.22/38.91ms (1.00 calls/frame); draw=7.58/49.75ms; world=6.29/40.04ms [scene=6.06/39.78, scene-detail=[tiles=0.45ms/27.6draws (geometry=0.16ms/27.6draws, water=0.28ms/0.0draws), objects=4.66ms/66.6draws, procedural=0.00ms/0.0draws, entities=0.47ms/2.4draws, effects=0.08ms/2.0draws, weather=0.35ms/0.0draws, other=0.05ms], lighting=0.02/0.08, post=0.04/0.08, overlays=0.06/0.30, other=0.10]; gui=1.25/13.19ms [update=1.16/13.09 (minimap=0.87/10.72 [compact=0.87, fullmap=0.00/0.00], other=0.29), render=0.09/3.49, other=0.00]; finish=0.03/3.25ms; outside-update-draw=0.26ms; draws=156, maps=2, entities=23, lights=3
2026-07-24 12:16:41.605 +02:00 [INF] Client frame profile: measured=122.1fps counter=125 targetMode=-1; interval=8.19/20.09ms avg/max; update=0.08/2.94ms (1.00 calls/frame); draw=7.90/19.65ms; world=6.50/10.12ms [scene=6.27/9.84, scene-detail=[tiles=0.48ms/33.0draws (geometry=0.20ms/33.0draws, water=0.29ms/0.0draws), objects=4.92ms/72.0draws, procedural=0.00ms/0.0draws, entities=0.36ms/5.7draws, effects=0.09ms/2.6draws, weather=0.35ms/0.0draws, other=0.06ms], lighting=0.02/0.09, post=0.04/0.10, overlays=0.06/0.12, other=0.10]; gui=1.35/13.22ms [update=1.10/13.14 (minimap=0.79/12.77 [compact=0.79, fullmap=0.00/0.00], other=0.31), render=0.25/0.66, other=0.00]; finish=0.04/3.43ms; outside-update-draw=0.21ms; draws=133, maps=2, entities=22, lights=3
2026-07-24 12:16:46.618 +02:00 [INF] Client frame profile: measured=119.3fps counter=125 targetMode=-1; interval=8.38/20.25ms avg/max; update=0.10/4.76ms (1.00 calls/frame); draw=8.01/19.06ms; world=6.62/18.13ms [scene=6.39/17.84, scene-detail=[tiles=0.49ms/32.4draws (geometry=0.20ms/32.4draws, water=0.29ms/0.0draws), objects=5.00ms/71.4draws, procedural=0.00ms/0.0draws, entities=0.39ms/3.6draws, effects=0.09ms/1.9draws, weather=0.36ms/0.0draws, other=0.06ms], lighting=0.02/0.15, post=0.04/0.09, overlays=0.06/0.16, other=0.10]; gui=1.36/11.67ms [update=1.18/11.29 (minimap=0.85/10.87 [compact=0.85, fullmap=0.00/0.00], other=0.33), render=0.18/0.61, other=0.00]; finish=0.02/0.05ms; outside-update-draw=0.28ms; draws=103, maps=1, entities=22, lights=3
2026-07-24 12:16:51.623 +02:00 [INF] Client frame profile: measured=137.7fps counter=136 targetMode=-1; interval=7.26/29.71ms avg/max; update=0.13/12.82ms (1.00 calls/frame); draw=6.99/19.09ms; world=5.78/7.55ms [scene=5.56/7.14, scene-detail=[tiles=0.40ms/21.0draws (geometry=0.12ms/21.0draws, water=0.28ms/0.0draws), objects=4.34ms/60.0draws, procedural=0.00ms/0.0draws, entities=0.33ms/2.6draws, effects=0.08ms/2.0draws, weather=0.35ms/0.0draws, other=0.06ms], lighting=0.02/0.05, post=0.04/0.09, overlays=0.06/0.16, other=0.10]; gui=1.19/12.26ms [update=1.04/12.17 (minimap=0.79/11.80 [compact=0.79, fullmap=0.00/0.00], other=0.24), render=0.15/0.68, other=0.00]; finish=0.02/0.07ms; outside-update-draw=0.14ms; draws=131, maps=1, entities=23, lights=3
2026-07-24 12:16:56.624 +02:00 [INF] Client frame profile: measured=125.0fps counter=125 targetMode=-1; interval=8.00/213.21ms avg/max; update=0.13/12.90ms (1.00 calls/frame); draw=7.64/212.75ms; world=6.39/203.74ms [scene=6.18/203.49, scene-detail=[tiles=0.51ms/25.0draws (geometry=0.18ms/25.0draws, water=0.33ms/0.0draws), objects=4.72ms/66.7draws, procedural=0.13ms/0.0draws, entities=0.24ms/0.1draws, effects=0.08ms/2.0draws, weather=0.43ms/0.0draws, other=0.05ms], lighting=0.02/0.04, post=0.04/0.09, overlays=0.06/0.17, other=0.10]; gui=1.21/11.43ms [update=1.12/11.32 (minimap=0.86/11.01 [compact=0.86, fullmap=0.00/0.00], other=0.26), render=0.09/0.54, other=0.00]; finish=0.02/0.32ms; outside-update-draw=0.23ms; draws=136, maps=2, entities=22, lights=3
