2026-08-13 18:56:29.494 +02:00 [INF] Starting Intersect Client v0.8.0.0-custom+32d39132dace1351f63375b261f241297dd35be8-dirty
2026-08-13 18:56:29.709 +02:00 [INF] Discovered service type: Intersect.Plugins.PluginService
2026-08-13 18:56:29.713 +02:00 [WRN] Directory was specified as a plugin directory but does not exist: 'resources\plugins'
2026-08-13 18:56:29.714 +02:00 [INF] Discovered 0 plugins:

2026-08-13 18:56:30.230 +02:00 [INF] Graphics pacing configured: targetMode=-1, vsync=false, fixedStep=false, backBuffer=1760x990
2026-08-13 18:56:36.134 +02:00 [INF] Connecting to 127.0.0.1:5400...
2026-08-13 18:56:36.157 +02:00 [INF] Connected [ae3e9fd9-7dc3-4da5-9a45-1194a0ef45fe].
2026-08-13 18:56:36.179 +02:00 [INF] Connection approved [ae3e9fd9-7dc3-4da5-9a45-1194a0ef45fe].
2026-08-13 18:56:36.277 +02:00 [INF] Updated PermissionSet 'default'
2026-08-13 18:56:44.307 +02:00 [INF] Updated PermissionSet 'admin'
2026-08-13 18:56:44.307 +02:00 [INF] Updating active permission set to 'admin'
2026-08-13 18:56:47.665 +02:00 [WRN] 'Me' is null.
2026-08-13 18:56:48.718 +02:00 [INF] Built VBO for map 9802b09c-f592-4d93-8e11-d3424500716c 'Deep Forest' in 52.1496ms
2026-08-13 18:56:48.735 +02:00 [INF] Built VBO for map 15601ad4-9f26-4abe-a6c9-3a7eebaa3045 'Forest' in 12.8326ms
2026-08-13 18:56:48.762 +02:00 [INF] Built VBO for map d490222a-af25-4a7f-bec3-7ca8016e08d7 'New Map' in 20.7894ms
2026-08-13 18:56:48.898 +02:00 [INF] Built VBO for map a31f210c-f5fb-48bf-9db2-45fab2293a4c 'Forest' in 132.3697ms
2026-08-13 18:56:48.967 +02:00 [INF] Built VBO for map 27c6a7b2-4e9f-4316-9a0f-e13ec8e16ba2 'Forest' in 64.8497ms
2026-08-13 18:56:48.998 +02:00 [INF] Built VBO for map e341d25d-5ff4-4cd6-bcd5-2f2cda710c86 'Greenfall Vale' in 28.3936ms
2026-08-13 18:56:54.248 +02:00 [INF] Client frame profile: measured=80.5fps counter=101 targetMode=-1; interval=12.42/642.14ms avg/max; update=0.20/30.77ms (1.00 calls/frame); draw=12.60/610.02ms; world=10.40/581.00ms [scene=10.04/573.97, scene-detail=[tiles=1.40ms/45.9draws (geometry=0.80ms/45.9draws, water=0.60ms/0.0draws), objects=6.76ms/87.8draws, procedural=0.01ms/0.0draws, entities=0.67ms/2.0draws, effects=0.30ms/0.0draws, weather=0.81ms/0.0draws, other=0.09ms], lighting=0.06/6.46, post=0.07/15.75, overlays=0.11/6.68, other=0.12]; gui=2.16/75.21ms [update=1.98/54.68 (minimap=1.41/34.16 [compact=1.41, fullmap=0.00/0.00], other=0.57), render=0.17/20.53, other=0.00]; finish=0.03/0.85ms; outside-update-draw=0.00ms; draws=154, maps=4, entities=23, lights=5
2026-08-13 18:56:59.252 +02:00 [INF] Client frame profile: measured=100.7fps counter=98 targetMode=-1; interval=9.93/55.66ms avg/max; update=0.20/19.12ms (1.00 calls/frame); draw=9.47/36.62ms; world=7.63/26.75ms [scene=7.44/26.47, scene-detail=[tiles=1.24ms/46.0draws (geometry=0.76ms/46.0draws, water=0.47ms/0.0draws), objects=5.15ms/88.0draws, procedural=0.00ms/0.0draws, entities=0.29ms/0.8draws, effects=0.06ms/1.2draws, weather=0.64ms/0.0draws, other=0.05ms], lighting=0.03/0.08, post=0.03/0.06, overlays=0.06/3.81, other=0.07]; gui=1.81/25.71ms [update=1.52/20.14 (minimap=0.97/12.68 [compact=0.97, fullmap=0.00/0.00], other=0.55), render=0.29/25.45, other=0.00]; finish=0.02/0.12ms; outside-update-draw=0.26ms; draws=176, maps=4, entities=17, lights=3
2026-08-13 18:57:04.260 +02:00 [INF] Client frame profile: measured=107.6fps counter=112 targetMode=-1; interval=9.29/22.95ms avg/max; update=0.09/4.49ms (1.00 calls/frame); draw=9.08/22.81ms; world=7.29/13.31ms [scene=7.14/13.10, scene-detail=[tiles=1.15ms/46.0draws (geometry=0.70ms/46.0draws, water=0.45ms/0.0draws), objects=5.09ms/88.0draws, procedural=0.00ms/0.0draws, entities=0.19ms/1.0draws, effects=0.04ms/1.0draws, weather=0.62ms/0.0draws, other=0.04ms], lighting=0.03/0.06, post=0.03/0.05, overlays=0.04/0.08, other=0.06]; gui=1.75/12.82ms [update=1.40/12.18 (minimap=0.93/11.34 [compact=0.93, fullmap=0.00/0.00], other=0.47), render=0.35/2.94, other=0.00]; finish=0.02/2.26ms; outside-update-draw=0.13ms; draws=176, maps=4, entities=17, lights=3
2026-08-13 18:57:09.267 +02:00 [INF] Client frame profile: measured=102.9fps counter=102 targetMode=-1; interval=9.72/37.62ms avg/max; update=0.11/3.32ms (1.00 calls/frame); draw=9.42/37.25ms; world=7.50/26.82ms [scene=7.33/26.63, scene-detail=[tiles=1.17ms/46.0draws (geometry=0.72ms/46.0draws, water=0.45ms/0.0draws), objects=5.13ms/88.0draws, procedural=0.00ms/0.0draws, entities=0.32ms/2.7draws, effects=0.04ms/0.6draws, weather=0.62ms/0.0draws, other=0.05ms], lighting=0.03/3.55, post=0.03/0.06, overlays=0.04/0.08, other=0.06]; gui=1.89/17.76ms [update=1.46/17.29 (minimap=0.90/10.28 [compact=0.90, fullmap=0.00/0.00], other=0.56), render=0.43/1.95, other=0.00]; finish=0.02/0.05ms; outside-update-draw=0.20ms; draws=170, maps=4, entities=17, lights=3
2026-08-13 18:57:14.272 +02:00 [INF] Client frame profile: measured=104.1fps counter=108 targetMode=-1; interval=9.61/59.51ms avg/max; update=0.08/2.36ms (1.00 calls/frame); draw=9.42/57.51ms; world=7.61/44.21ms [scene=7.46/44.01, scene-detail=[tiles=1.15ms/46.0draws (geometry=0.71ms/46.0draws, water=0.44ms/0.0draws), objects=5.25ms/88.0draws, procedural=0.00ms/0.0draws, entities=0.34ms/2.2draws, effects=0.04ms/1.8draws, weather=0.62ms/0.0draws, other=0.05ms], lighting=0.02/0.05, post=0.03/0.06, overlays=0.04/0.10, other=0.06]; gui=1.78/13.25ms [update=1.40/12.83 (minimap=0.93/12.15 [compact=0.93, fullmap=0.00/0.00], other=0.47), render=0.38/0.78, other=0.00]; finish=0.02/0.06ms; outside-update-draw=0.10ms; draws=170, maps=4, entities=17, lights=3
2026-08-13 18:57:19.279 +02:00 [INF] Client frame profile: measured=104.3fps counter=106 targetMode=-1; interval=9.59/20.47ms avg/max; update=0.08/4.94ms (1.00 calls/frame); draw=9.38/19.67ms; world=7.53/9.74ms [scene=7.37/9.55, scene-detail=[tiles=1.16ms/46.0draws (geometry=0.71ms/46.0draws, water=0.44ms/0.0draws), objects=5.26ms/88.0draws, procedural=0.00ms/0.0draws, entities=0.25ms/3.0draws, effects=0.04ms/1.0draws, weather=0.62ms/0.0draws, other=0.05ms], lighting=0.03/0.06, post=0.03/0.07, overlays=0.04/1.11, other=0.06]; gui=1.81/11.34ms [update=1.42/10.93 (minimap=0.92/10.07 [compact=0.92, fullmap=0.00/0.00], other=0.50), render=0.40/1.64, other=0.00]; finish=0.02/0.08ms; outside-update-draw=0.13ms; draws=187, maps=4, entities=17, lights=3
2026-08-13 18:57:24.280 +02:00 [INF] Client frame profile: measured=95.4fps counter=89 targetMode=-1; interval=10.48/28.58ms avg/max; update=0.10/4.24ms (1.00 calls/frame); draw=10.26/26.89ms; world=8.00/12.43ms [scene=7.82/12.22, scene-detail=[tiles=1.25ms/46.0draws (geometry=0.78ms/46.0draws, water=0.46ms/0.0draws), objects=5.53ms/88.0draws, procedural=0.00ms/0.0draws, entities=0.30ms/3.0draws, effects=0.05ms/0.8draws, weather=0.64ms/0.0draws, other=0.06ms], lighting=0.03/0.09, post=0.03/0.11, overlays=0.05/0.15, other=0.07]; gui=2.22/15.34ms [update=1.70/14.43 (minimap=1.06/13.39 [compact=1.06, fullmap=0.00/0.00], other=0.64), render=0.52/1.45, other=0.00]; finish=0.02/0.06ms; outside-update-draw=0.12ms; draws=184, maps=4, entities=17, lights=3
2026-08-13 18:57:29.295 +02:00 [INF] Client frame profile: measured=104.1fps counter=105 targetMode=-1; interval=9.61/21.55ms avg/max; update=0.08/1.63ms (1.00 calls/frame); draw=9.39/20.65ms; world=7.51/11.46ms [scene=7.35/11.24, scene-detail=[tiles=1.17ms/46.0draws (geometry=0.71ms/46.0draws, water=0.45ms/0.0draws), objects=5.23ms/88.0draws, procedural=0.00ms/0.0draws, entities=0.25ms/2.9draws, effects=0.04ms/1.0draws, weather=0.61ms/0.0draws, other=0.04ms], lighting=0.03/0.06, post=0.03/0.08, overlays=0.04/0.11, other=0.06]; gui=1.86/12.20ms [update=1.42/11.69 (minimap=0.92/11.24 [compact=0.92, fullmap=0.00/0.00], other=0.50), render=0.43/1.38, other=0.00]; finish=0.02/0.04ms; outside-update-draw=0.13ms; draws=178, maps=4, entities=17, lights=3
2026-08-13 18:57:34.304 +02:00 [INF] Client frame profile: measured=105.2fps counter=102 targetMode=-1; interval=9.50/19.97ms avg/max; update=0.09/1.74ms (1.00 calls/frame); draw=9.20/19.56ms; world=7.43/10.34ms [scene=7.28/10.17, scene-detail=[tiles=1.17ms/46.0draws (geometry=0.72ms/46.0draws, water=0.46ms/0.0draws), objects=5.22ms/88.0draws, procedural=0.00ms/0.0draws, entities=0.19ms/1.0draws, effects=0.04ms/1.0draws, weather=0.61ms/0.0draws, other=0.04ms], lighting=0.03/0.05, post=0.03/0.05, overlays=0.04/0.06, other=0.06]; gui=1.74/12.36ms [update=1.38/12.08 (minimap=0.90/11.54 [compact=0.90, fullmap=0.00/0.00], other=0.48), render=0.35/1.92, other=0.00]; finish=0.02/0.03ms; outside-update-draw=0.21ms; draws=160, maps=4, entities=17, lights=3
2026-08-13 18:57:39.306 +02:00 [INF] Client frame profile: measured=104.9fps counter=105 targetMode=-1; interval=9.53/22.42ms avg/max; update=0.08/1.49ms (1.00 calls/frame); draw=9.31/20.44ms; world=7.47/10.59ms [scene=7.30/10.42, scene-detail=[tiles=1.16ms/46.0draws (geometry=0.71ms/46.0draws, water=0.45ms/0.0draws), objects=5.25ms/88.0draws, procedural=0.00ms/0.0draws, entities=0.20ms/1.0draws, effects=0.04ms/1.0draws, weather=0.61ms/0.0draws, other=0.04ms], lighting=0.03/0.06, post=0.03/0.06, overlays=0.04/0.10, other=0.06]; gui=1.82/12.18ms [update=1.44/11.53 (minimap=0.95/10.86 [compact=0.95, fullmap=0.00/0.00], other=0.50), render=0.37/1.60, other=0.00]; finish=0.02/0.03ms; outside-update-draw=0.14ms; draws=160, maps=4, entities=17, lights=3
2026-08-13 18:57:44.343 +02:00 [INF] Client frame profile: measured=73.1fps counter=28 targetMode=-1; interval=13.69/79.23ms avg/max; update=0.10/2.62ms (1.00 calls/frame); draw=9.87/58.16ms; world=7.73/47.04ms [scene=7.56/46.66, scene-detail=[tiles=1.17ms/46.0draws (geometry=0.72ms/46.0draws, water=0.45ms/0.0draws), objects=5.33ms/88.0draws, procedural=0.00ms/0.0draws, entities=0.36ms/0.9draws, effects=0.04ms/1.1draws, weather=0.62ms/0.0draws, other=0.05ms], lighting=0.03/0.10, post=0.03/0.06, overlays=0.04/0.10, other=0.07]; gui=2.11/12.30ms [update=1.81/12.01 (minimap=1.31/11.45 [compact=1.31, fullmap=0.00/0.00], other=0.51), render=0.30/1.49, other=0.00]; finish=0.02/0.05ms; outside-update-draw=3.71ms; draws=160, maps=4, entities=23, lights=5
