2026-08-22 05:16:44.343 +02:00 [INF] Starting Intersect Client v0.8.0.0-custom+32d39132dace1351f63375b261f241297dd35be8-dirty
2026-08-22 05:16:44.595 +02:00 [INF] Discovered service type: Intersect.Plugins.PluginService
2026-08-22 05:16:44.598 +02:00 [WRN] Directory was specified as a plugin directory but does not exist: 'resources\plugins'
2026-08-22 05:16:44.599 +02:00 [INF] Discovered 0 plugins:

2026-08-22 05:16:45.090 +02:00 [INF] Graphics pacing configured: targetMode=-1, vsync=false, fixedStep=false, backBuffer=1760x990
2026-08-22 05:16:47.227 +02:00 [INF] Connecting to 127.0.0.1:5400...
2026-08-22 05:16:47.249 +02:00 [INF] Connected [75892f1c-5270-4bbf-a634-f8c655a5e83e].
2026-08-22 05:16:47.262 +02:00 [INF] Connection approved [75892f1c-5270-4bbf-a634-f8c655a5e83e].
2026-08-22 05:16:47.388 +02:00 [INF] Updated PermissionSet 'default'
2026-08-22 05:16:51.169 +02:00 [INF] Updated PermissionSet 'admin'
2026-08-22 05:16:51.169 +02:00 [INF] Updating active permission set to 'admin'
2026-08-22 05:16:57.445 +02:00 [WRN] 'Me' is null.
2026-08-22 05:16:58.616 +02:00 [INF] Built VBO for map 15601ad4-9f26-4abe-a6c9-3a7eebaa3045 'Forest' in 32.9207ms
2026-08-22 05:16:58.632 +02:00 [INF] Built VBO for map d490222a-af25-4a7f-bec3-7ca8016e08d7 'New Map' in 12.363ms
2026-08-22 05:16:58.647 +02:00 [INF] Built VBO for map 000bacda-f0e9-4a92-ab09-e55bd4ad15c1 'New Map' in 9.2956ms
2026-08-22 05:16:58.756 +02:00 [INF] Built VBO for map 27c6a7b2-4e9f-4316-9a0f-e13ec8e16ba2 'Forest' in 106.6482ms
2026-08-22 05:16:58.794 +02:00 [INF] Built VBO for map e341d25d-5ff4-4cd6-bcd5-2f2cda710c86 'Greenfall Vale' in 34.371ms
2026-08-22 05:16:58.805 +02:00 [INF] Built VBO for map f519d3ea-b6f4-4b17-b87a-1dcf003cd3ec 'New Map' in 9.3082ms
2026-08-22 05:17:03.977 +02:00 [INF] Client frame profile: measured=347.4fps counter=605 targetMode=-1; interval=2.88/645.58ms avg/max; update=0.10/29.77ms (1.00 calls/frame); draw=2.80/613.83ms; world=2.01/584.16ms [scene=1.76/564.73, scene-detail=[tiles=0.19ms/12.0draws (geometry=0.18ms/12.0draws, water=0.01ms/0.0draws), objects=0.98ms/13.0draws, procedural=0.00ms/0.0draws, entities=0.35ms/1.0draws, effects=0.14ms/4.0draws, weather=0.03ms/0.0draws, other=0.08ms], lighting=0.04/6.89, post=0.03/14.27, overlays=0.08/19.09, other=0.10]; gui=0.76/96.39ms [update=0.68/69.95 (minimap=0.44/48.16 [compact=0.44, fullmap=0.00/0.00], other=0.24), render=0.07/26.44, other=0.00]; finish=0.02/1.60ms; outside-update-draw=0.00ms; draws=48, maps=1, entities=20, lights=5
2026-08-22 05:17:08.977 +02:00 [INF] Client frame profile: measured=591.6fps counter=578 targetMode=-1; interval=1.69/27.73ms avg/max; update=0.04/0.29ms (1.00 calls/frame); draw=1.61/27.61ms; world=1.20/17.06ms [scene=1.01/13.75, scene-detail=[tiles=0.17ms/12.0draws (geometry=0.17ms/12.0draws, water=0.00ms/0.0draws), objects=0.54ms/13.0draws, procedural=0.00ms/0.0draws, entities=0.18ms/1.0draws, effects=0.06ms/4.0draws, weather=0.02ms/0.0draws, other=0.04ms], lighting=0.03/0.12, post=0.02/0.09, overlays=0.05/3.13, other=0.10]; gui=0.38/12.53ms [update=0.33/12.45 (minimap=0.18/12.10 [compact=0.18, fullmap=0.00/0.00], other=0.16), render=0.05/0.15, other=0.00]; finish=0.02/0.06ms; outside-update-draw=0.05ms; draws=48, maps=1, entities=20, lights=5
2026-08-22 05:17:13.977 +02:00 [INF] Client frame profile: measured=604.2fps counter=602 targetMode=-1; interval=1.66/13.38ms avg/max; update=0.03/0.47ms (1.00 calls/frame); draw=1.58/13.26ms; world=1.19/2.75ms [scene=1.00/2.56, scene-detail=[tiles=0.17ms/12.0draws (geometry=0.17ms/12.0draws, water=0.00ms/0.0draws), objects=0.54ms/13.0draws, procedural=0.00ms/0.0draws, entities=0.17ms/1.0draws, effects=0.06ms/4.0draws, weather=0.02ms/0.0draws, other=0.04ms], lighting=0.03/0.10, post=0.02/0.09, overlays=0.05/0.14, other=0.10]; gui=0.36/11.85ms [update=0.31/11.77 (minimap=0.17/11.48 [compact=0.17, fullmap=0.00/0.00], other=0.14), render=0.05/0.21, other=0.00]; finish=0.02/0.25ms; outside-update-draw=0.05ms; draws=48, maps=1, entities=19, lights=5
2026-08-22 05:17:18.977 +02:00 [INF] Client frame profile: measured=595.9fps counter=583 targetMode=-1; interval=1.68/25.14ms avg/max; update=0.03/0.31ms (1.00 calls/frame); draw=1.58/25.04ms; world=1.19/14.56ms [scene=1.00/14.31, scene-detail=[tiles=0.17ms/12.0draws (geometry=0.16ms/12.0draws, water=0.00ms/0.0draws), objects=0.54ms/13.0draws, procedural=0.00ms/0.0draws, entities=0.18ms/1.0draws, effects=0.06ms/3.8draws, weather=0.02ms/0.0draws, other=0.04ms], lighting=0.03/0.07, post=0.02/0.06, overlays=0.04/0.09, other=0.09]; gui=0.37/14.30ms [update=0.32/14.21 (minimap=0.17/13.83 [compact=0.17, fullmap=0.00/0.00], other=0.15), render=0.05/0.21, other=0.00]; finish=0.02/0.05ms; outside-update-draw=0.06ms; draws=48, maps=1, entities=19, lights=5
2026-08-22 05:17:23.978 +02:00 [INF] Client frame profile: measured=602.9fps counter=618 targetMode=-1; interval=1.66/13.40ms avg/max; update=0.03/0.24ms (1.00 calls/frame); draw=1.57/13.31ms; world=1.18/2.69ms [scene=0.99/2.30, scene-detail=[tiles=0.17ms/12.0draws (geometry=0.17ms/12.0draws, water=0.00ms/0.0draws), objects=0.54ms/13.0draws, procedural=0.00ms/0.0draws, entities=0.17ms/1.0draws, effects=0.06ms/4.0draws, weather=0.02ms/0.0draws, other=0.04ms], lighting=0.03/0.07, post=0.02/0.06, overlays=0.05/0.13, other=0.09]; gui=0.36/11.80ms [update=0.31/11.62 (minimap=0.17/11.18 [compact=0.17, fullmap=0.00/0.00], other=0.14), render=0.05/0.21, other=0.00]; finish=0.02/0.07ms; outside-update-draw=0.06ms; draws=48, maps=1, entities=19, lights=5
2026-08-22 05:17:28.979 +02:00 [INF] Client frame profile: measured=600.3fps counter=590 targetMode=-1; interval=1.67/13.34ms avg/max; update=0.03/2.35ms (1.00 calls/frame); draw=1.59/12.79ms; world=1.20/8.74ms [scene=1.01/8.51, scene-detail=[tiles=0.15ms/12.0draws (geometry=0.14ms/12.0draws, water=0.00ms/0.0draws), objects=0.54ms/13.0draws, procedural=0.00ms/0.0draws, entities=0.21ms/2.0draws, effects=0.06ms/4.0draws, weather=0.02ms/0.0draws, other=0.04ms], lighting=0.03/0.07, post=0.02/0.05, overlays=0.04/0.13, other=0.09]; gui=0.37/11.61ms [update=0.32/11.51 (minimap=0.17/11.24 [compact=0.17, fullmap=0.00/0.00], other=0.14), render=0.05/0.17, other=0.00]; finish=0.02/2.04ms; outside-update-draw=0.04ms; draws=50, maps=1, entities=18, lights=5
2026-08-22 05:17:33.980 +02:00 [INF] Client frame profile: measured=595.1fps counter=591 targetMode=-1; interval=1.68/13.41ms avg/max; update=0.03/0.31ms (1.00 calls/frame); draw=1.60/13.22ms; world=1.21/2.55ms [scene=1.03/2.18, scene-detail=[tiles=0.13ms/12.0draws (geometry=0.13ms/12.0draws, water=0.00ms/0.0draws), objects=0.54ms/13.0draws, procedural=0.00ms/0.0draws, entities=0.24ms/2.8draws, effects=0.06ms/4.0draws, weather=0.02ms/0.0draws, other=0.04ms], lighting=0.03/0.07, post=0.02/0.24, overlays=0.04/0.27, other=0.09]; gui=0.37/11.96ms [update=0.32/11.87 (minimap=0.17/11.46 [compact=0.17, fullmap=0.00/0.00], other=0.14), render=0.05/0.14, other=0.00]; finish=0.02/0.05ms; outside-update-draw=0.05ms; draws=48, maps=1, entities=18, lights=5
2026-08-22 05:17:38.982 +02:00 [INF] Client frame profile: measured=587.8fps counter=568 targetMode=-1; interval=1.70/16.28ms avg/max; update=0.03/9.43ms (1.00 calls/frame); draw=1.59/16.21ms; world=1.19/2.28ms [scene=1.00/2.02, scene-detail=[tiles=0.17ms/12.0draws (geometry=0.16ms/12.0draws, water=0.00ms/0.0draws), objects=0.55ms/13.0draws, procedural=0.00ms/0.0draws, entities=0.16ms/1.0draws, effects=0.06ms/4.0draws, weather=0.02ms/0.0draws, other=0.04ms], lighting=0.03/0.15, post=0.02/0.11, overlays=0.05/0.29, other=0.09]; gui=0.38/14.41ms [update=0.33/14.22 (minimap=0.18/13.68 [compact=0.18, fullmap=0.00/0.00], other=0.15), render=0.05/0.22, other=0.00]; finish=0.02/0.06ms; outside-update-draw=0.07ms; draws=48, maps=1, entities=18, lights=5
2026-08-22 05:17:43.995 +02:00 [INF] Client frame profile: measured=566.3fps counter=594 targetMode=-1; interval=1.77/36.01ms avg/max; update=0.03/0.28ms (1.00 calls/frame); draw=1.57/13.74ms; world=1.18/13.15ms [scene=0.99/12.92, scene-detail=[tiles=0.16ms/12.0draws (geometry=0.16ms/12.0draws, water=0.00ms/0.0draws), objects=0.55ms/13.0draws, procedural=0.00ms/0.0draws, entities=0.16ms/1.0draws, effects=0.06ms/4.0draws, weather=0.02ms/0.0draws, other=0.04ms], lighting=0.03/0.10, post=0.02/0.07, overlays=0.04/0.14, other=0.09]; gui=0.37/12.25ms [update=0.32/12.02 (minimap=0.18/11.30 [compact=0.18, fullmap=0.00/0.00], other=0.14), render=0.05/1.20, other=0.00]; finish=0.02/0.24ms; outside-update-draw=0.16ms; draws=48, maps=1, entities=18, lights=5
2026-08-22 05:17:49.007 +02:00 [INF] Client frame profile: measured=39.1fps counter=40 targetMode=-1; interval=25.57/36.06ms avg/max; update=0.12/0.24ms (1.00 calls/frame); draw=4.78/14.87ms; world=1.56/3.18ms [scene=1.33/2.96, scene-detail=[tiles=0.18ms/12.0draws (geometry=0.17ms/12.0draws, water=0.01ms/0.0draws), objects=0.67ms/13.0draws, procedural=0.00ms/0.0draws, entities=0.33ms/2.8draws, effects=0.08ms/4.0draws, weather=0.02ms/0.0draws, other=0.06ms], lighting=0.04/0.06, post=0.03/0.06, overlays=0.06/0.11, other=0.10]; gui=3.17/12.36ms [update=3.08/12.26 (minimap=2.62/11.76 [compact=2.62, fullmap=0.00/0.00], other=0.46), render=0.09/0.18, other=0.00]; finish=0.03/0.07ms; outside-update-draw=20.67ms; draws=56, maps=1, entities=18, lights=5
2026-08-22 05:17:54.022 +02:00 [INF] Client frame profile: measured=39.1fps counter=40 targetMode=-1; interval=25.59/34.68ms avg/max; update=0.13/2.76ms (1.00 calls/frame); draw=4.79/13.85ms; world=1.57/2.16ms [scene=1.33/1.73, scene-detail=[tiles=0.17ms/12.0draws (geometry=0.16ms/12.0draws, water=0.00ms/0.0draws), objects=0.65ms/13.0draws, procedural=0.00ms/0.0draws, entities=0.35ms/3.7draws, effects=0.08ms/4.0draws, weather=0.02ms/0.0draws, other=0.07ms], lighting=0.03/0.06, post=0.03/0.13, overlays=0.06/0.13, other=0.11]; gui=3.17/12.06ms [update=3.08/11.95 (minimap=2.61/11.50 [compact=2.61, fullmap=0.00/0.00], other=0.47), render=0.09/0.23, other=0.00]; finish=0.03/0.07ms; outside-update-draw=20.67ms; draws=54, maps=1, entities=18, lights=5
