2026-08-28 18:01:31.210 +02:00 [INF] Starting Intersect Client v0.8.0.0-custom+32d39132dace1351f63375b261f241297dd35be8-dirty
2026-08-28 18:01:31.455 +02:00 [INF] Discovered service type: Intersect.Plugins.PluginService
2026-08-28 18:01:31.458 +02:00 [WRN] Directory was specified as a plugin directory but does not exist: 'resources\plugins'
2026-08-28 18:01:31.459 +02:00 [INF] Discovered 0 plugins:

2026-08-28 18:01:32.006 +02:00 [INF] Graphics pacing configured: targetMode=-1, vsync=false, fixedStep=false, backBuffer=1760x990
2026-08-28 18:01:33.902 +02:00 [INF] Connecting to 127.0.0.1:5400...
2026-08-28 18:01:33.926 +02:00 [INF] Connected [09a3a30e-dc71-4e94-9d51-ed52702ab128].
2026-08-28 18:01:33.942 +02:00 [INF] Connection approved [09a3a30e-dc71-4e94-9d51-ed52702ab128].
2026-08-28 18:01:34.055 +02:00 [INF] Updated PermissionSet 'default'
2026-08-28 18:01:37.892 +02:00 [INF] Updated PermissionSet 'admin'
2026-08-28 18:01:37.892 +02:00 [INF] Updating active permission set to 'admin'
2026-08-28 18:01:45.761 +02:00 [WRN] 'Me' is null.
2026-08-28 18:01:46.989 +02:00 [INF] Built VBO for map 9802b09c-f592-4d93-8e11-d3424500716c 'Deep Forest' in 61.178ms
2026-08-28 18:01:47.005 +02:00 [INF] Built VBO for map 15601ad4-9f26-4abe-a6c9-3a7eebaa3045 'Forest' in 12.1636ms
2026-08-28 18:01:47.028 +02:00 [INF] Built VBO for map d490222a-af25-4a7f-bec3-7ca8016e08d7 'New Map' in 17.617ms
2026-08-28 18:01:47.159 +02:00 [INF] Built VBO for map a31f210c-f5fb-48bf-9db2-45fab2293a4c 'Forest' in 127.8458ms
2026-08-28 18:01:47.217 +02:00 [INF] Built VBO for map 27c6a7b2-4e9f-4316-9a0f-e13ec8e16ba2 'Forest' in 54.6999ms
2026-08-28 18:01:47.247 +02:00 [INF] Built VBO for map e341d25d-5ff4-4cd6-bcd5-2f2cda710c86 'Greenfall Vale' in 28.143ms
2026-08-28 18:01:52.562 +02:00 [INF] Client frame profile: measured=73.9fps counter=109 targetMode=-1; interval=13.53/350.05ms avg/max; update=0.39/33.67ms (1.00 calls/frame); draw=13.60/314.23ms; world=10.23/283.26ms [scene=9.84/274.62, scene-detail=[tiles=0.89ms/25.9draws (geometry=0.45ms/25.9draws, water=0.44ms/0.0draws), objects=6.78ms/62.8draws, procedural=0.00ms/0.0draws, entities=0.92ms/0.6draws, effects=0.52ms/1.4draws, weather=0.56ms/0.0draws, other=0.17ms], lighting=0.06/8.85, post=0.08/14.48, overlays=0.13/8.36, other=0.12]; gui=3.33/92.92ms [update=2.74/64.42 (minimap=2.06/42.06 [compact=2.06, fullmap=0.00/0.00], other=0.68), render=0.59/30.40, other=0.00]; finish=0.03/1.14ms; outside-update-draw=0.00ms; draws=127, maps=2, entities=23, lights=5
2026-08-28 18:01:57.576 +02:00 [INF] Client frame profile: measured=119.6fps counter=124 targetMode=-1; interval=8.36/71.40ms avg/max; update=0.07/2.00ms (1.00 calls/frame); draw=8.22/69.32ms; world=6.61/59.09ms [scene=6.40/58.81, scene-detail=[tiles=0.64ms/26.0draws (geometry=0.38ms/26.0draws, water=0.26ms/0.0draws), objects=4.88ms/63.0draws, procedural=0.00ms/0.0draws, entities=0.38ms/0.4draws, effects=0.05ms/1.7draws, weather=0.35ms/0.0draws, other=0.09ms], lighting=0.02/0.05, post=0.03/0.09, overlays=0.06/0.22, other=0.10]; gui=1.59/12.54ms [update=1.17/12.00 (minimap=0.83/11.35 [compact=0.83, fullmap=0.00/0.00], other=0.34), render=0.41/0.85, other=0.00]; finish=0.02/0.07ms; outside-update-draw=0.07ms; draws=129, maps=2, entities=23, lights=5
2026-08-28 18:02:02.577 +02:00 [INF] Client frame profile: measured=118.6fps counter=115 targetMode=-1; interval=8.43/20.30ms avg/max; update=0.08/5.92ms (1.00 calls/frame); draw=8.26/20.13ms; world=6.51/11.26ms [scene=6.31/11.03, scene-detail=[tiles=0.65ms/26.0draws (geometry=0.38ms/26.0draws, water=0.27ms/0.0draws), objects=4.85ms/63.0draws, procedural=0.00ms/0.0draws, entities=0.30ms/2.0draws, effects=0.05ms/2.0draws, weather=0.36ms/0.0draws, other=0.09ms], lighting=0.02/0.05, post=0.03/0.06, overlays=0.06/0.11, other=0.10]; gui=1.72/12.81ms [update=1.31/12.36 (minimap=0.97/11.89 [compact=0.97, fullmap=0.00/0.00], other=0.33), render=0.41/0.76, other=0.00]; finish=0.02/0.05ms; outside-update-draw=0.09ms; draws=129, maps=2, entities=23, lights=5
2026-08-28 18:02:07.583 +02:00 [INF] Client frame profile: measured=123.0fps counter=114 targetMode=-1; interval=8.13/19.89ms avg/max; update=0.05/0.42ms (1.00 calls/frame); draw=8.03/19.78ms; world=6.46/10.63ms [scene=6.25/10.27, scene-detail=[tiles=0.64ms/26.0draws (geometry=0.38ms/26.0draws, water=0.27ms/0.0draws), objects=4.84ms/63.0draws, procedural=0.00ms/0.0draws, entities=0.28ms/2.0draws, effects=0.05ms/2.0draws, weather=0.35ms/0.0draws, other=0.09ms], lighting=0.02/0.06, post=0.03/0.06, overlays=0.06/0.14, other=0.10]; gui=1.54/12.51ms [update=1.13/11.99 (minimap=0.83/11.36 [compact=0.83, fullmap=0.00/0.00], other=0.30), render=0.41/0.79, other=0.00]; finish=0.02/0.08ms; outside-update-draw=0.05ms; draws=129, maps=2, entities=23, lights=5
2026-08-28 18:02:12.586 +02:00 [INF] Client frame profile: measured=119.1fps counter=120 targetMode=-1; interval=8.39/20.48ms avg/max; update=0.09/5.37ms (1.00 calls/frame); draw=8.20/20.27ms; world=6.52/11.78ms [scene=6.30/8.20, scene-detail=[tiles=0.65ms/26.0draws (geometry=0.38ms/26.0draws, water=0.27ms/0.0draws), objects=4.87ms/63.0draws, procedural=0.00ms/0.0draws, entities=0.28ms/2.0draws, effects=0.06ms/2.0draws, weather=0.34ms/0.0draws, other=0.09ms], lighting=0.02/0.05, post=0.03/0.06, overlays=0.07/5.43, other=0.10]; gui=1.65/13.78ms [update=1.22/13.36 (minimap=0.91/13.03 [compact=0.91, fullmap=0.00/0.00], other=0.31), render=0.43/1.92, other=0.00]; finish=0.02/0.05ms; outside-update-draw=0.11ms; draws=149, maps=2, entities=23, lights=5
2026-08-28 18:02:17.590 +02:00 [INF] Client frame profile: measured=118.5fps counter=110 targetMode=-1; interval=8.44/20.05ms avg/max; update=0.07/4.19ms (1.00 calls/frame); draw=8.29/19.85ms; world=6.51/10.66ms [scene=6.30/10.28, scene-detail=[tiles=0.64ms/26.0draws (geometry=0.38ms/26.0draws, water=0.27ms/0.0draws), objects=4.90ms/63.0draws, procedural=0.00ms/0.0draws, entities=0.28ms/2.0draws, effects=0.05ms/2.0draws, weather=0.33ms/0.0draws, other=0.09ms], lighting=0.02/0.05, post=0.03/0.07, overlays=0.06/0.21, other=0.10]; gui=1.76/12.75ms [update=1.25/12.07 (minimap=0.94/11.33 [compact=0.94, fullmap=0.00/0.00], other=0.31), render=0.51/1.88, other=0.00]; finish=0.01/0.05ms; outside-update-draw=0.07ms; draws=150, maps=2, entities=23, lights=5
2026-08-28 18:02:22.591 +02:00 [INF] Client frame profile: measured=119.8fps counter=123 targetMode=-1; interval=8.35/26.19ms avg/max; update=0.06/1.72ms (1.00 calls/frame); draw=8.20/26.06ms; world=6.55/14.46ms [scene=6.35/14.23, scene-detail=[tiles=0.64ms/26.0draws (geometry=0.37ms/26.0draws, water=0.27ms/0.0draws), objects=4.89ms/63.0draws, procedural=0.00ms/0.0draws, entities=0.35ms/3.8draws, effects=0.05ms/2.0draws, weather=0.33ms/0.0draws, other=0.09ms], lighting=0.02/0.06, post=0.02/0.08, overlays=0.05/0.13, other=0.10]; gui=1.63/12.34ms [update=1.16/11.82 (minimap=0.89/11.53 [compact=0.89, fullmap=0.00/0.00], other=0.27), render=0.47/1.67, other=0.00]; finish=0.01/0.03ms; outside-update-draw=0.09ms; draws=131, maps=2, entities=23, lights=5
2026-08-28 18:02:27.595 +02:00 [INF] Client frame profile: measured=116.3fps counter=114 targetMode=-1; interval=8.60/56.15ms avg/max; update=0.06/2.16ms (1.00 calls/frame); draw=8.45/55.62ms; world=6.68/43.76ms [scene=6.47/43.45, scene-detail=[tiles=0.64ms/26.0draws (geometry=0.38ms/26.0draws, water=0.27ms/0.0draws), objects=4.93ms/63.0draws, procedural=0.00ms/0.0draws, entities=0.42ms/4.0draws, effects=0.05ms/2.0draws, weather=0.34ms/0.0draws, other=0.09ms], lighting=0.02/0.11, post=0.03/0.10, overlays=0.05/0.20, other=0.10]; gui=1.75/16.79ms [update=1.25/16.21 (minimap=0.90/11.32 [compact=0.90, fullmap=0.00/0.00], other=0.34), render=0.51/1.66, other=0.00]; finish=0.01/0.03ms; outside-update-draw=0.08ms; draws=131, maps=2, entities=23, lights=5
2026-08-28 18:02:32.599 +02:00 [INF] Client frame profile: measured=117.7fps counter=121 targetMode=-1; interval=8.50/20.51ms avg/max; update=0.07/1.52ms (1.00 calls/frame); draw=8.31/18.77ms; world=6.56/10.17ms [scene=6.36/9.82, scene-detail=[tiles=0.65ms/26.0draws (geometry=0.38ms/26.0draws, water=0.27ms/0.0draws), objects=4.92ms/63.0draws, procedural=0.00ms/0.0draws, entities=0.32ms/4.0draws, effects=0.05ms/2.0draws, weather=0.33ms/0.0draws, other=0.09ms], lighting=0.02/0.07, post=0.03/0.08, overlays=0.05/0.15, other=0.10]; gui=1.73/12.01ms [update=1.26/11.45 (minimap=0.96/11.01 [compact=0.96, fullmap=0.00/0.00], other=0.30), render=0.47/3.94, other=0.00]; finish=0.01/0.05ms; outside-update-draw=0.11ms; draws=131, maps=2, entities=23, lights=5
2026-08-28 18:02:37.600 +02:00 [INF] Client frame profile: measured=120.2fps counter=118 targetMode=-1; interval=8.32/19.09ms avg/max; update=0.06/1.68ms (1.00 calls/frame); draw=8.20/18.97ms; world=6.56/10.22ms [scene=6.35/9.96, scene-detail=[tiles=0.64ms/26.0draws (geometry=0.37ms/26.0draws, water=0.27ms/0.0draws), objects=4.92ms/63.0draws, procedural=0.00ms/0.0draws, entities=0.32ms/3.6draws, effects=0.05ms/2.0draws, weather=0.33ms/0.0draws, other=0.09ms], lighting=0.02/0.04, post=0.03/0.06, overlays=0.05/0.12, other=0.10]; gui=1.62/12.31ms [update=1.19/11.84 (minimap=0.89/11.35 [compact=0.89, fullmap=0.00/0.00], other=0.30), render=0.43/0.87, other=0.00]; finish=0.02/0.79ms; outside-update-draw=0.06ms; draws=150, maps=2, entities=23, lights=5
2026-08-28 18:02:42.604 +02:00 [INF] Client frame profile: measured=120.3fps counter=121 targetMode=-1; interval=8.31/19.04ms avg/max; update=0.05/0.25ms (1.00 calls/frame); draw=8.15/18.59ms; world=6.51/9.44ms [scene=6.31/9.18, scene-detail=[tiles=0.64ms/26.0draws (geometry=0.38ms/26.0draws, water=0.27ms/0.0draws), objects=4.91ms/63.0draws, procedural=0.00ms/0.0draws, entities=0.28ms/2.0draws, effects=0.05ms/2.0draws, weather=0.34ms/0.0draws, other=0.09ms], lighting=0.02/0.04, post=0.02/0.06, overlays=0.05/0.13, other=0.10]; gui=1.61/11.94ms [update=1.19/11.50 (minimap=0.91/10.99 [compact=0.91, fullmap=0.00/0.00], other=0.27), render=0.42/1.72, other=0.00]; finish=0.02/0.03ms; outside-update-draw=0.11ms; draws=129, maps=2, entities=23, lights=5
