2026-09-08 17:38:48.116 +02:00 [INF] Starting Intersect Client v0.8.0.0-custom+32d39132dace1351f63375b261f241297dd35be8-dirty
2026-09-08 17:38:48.358 +02:00 [INF] Discovered service type: Intersect.Plugins.PluginService
2026-09-08 17:38:48.361 +02:00 [WRN] Directory was specified as a plugin directory but does not exist: 'resources\plugins'
2026-09-08 17:38:48.362 +02:00 [INF] Discovered 0 plugins:

2026-09-08 17:38:48.831 +02:00 [INF] Graphics pacing configured: targetMode=-1, vsync=false, fixedStep=false, backBuffer=1760x990
2026-09-08 17:38:50.451 +02:00 [INF] Connecting to 127.0.0.1:5400...
2026-09-08 17:38:50.477 +02:00 [INF] Connected [ecd67f4b-e021-48d8-b0b2-15aaf2f9e503].
2026-09-08 17:38:50.489 +02:00 [INF] Connection approved [ecd67f4b-e021-48d8-b0b2-15aaf2f9e503].
2026-09-08 17:38:50.620 +02:00 [INF] Updated PermissionSet 'default'
2026-09-08 17:38:54.453 +02:00 [INF] Updated PermissionSet 'admin'
2026-09-08 17:38:54.453 +02:00 [INF] Updating active permission set to 'admin'
2026-09-08 17:38:57.573 +02:00 [WRN] 'Me' is null.
2026-09-08 17:38:58.859 +02:00 [INF] Built VBO for map 9802b09c-f592-4d93-8e11-d3424500716c 'Deep Forest' in 64.9695ms
2026-09-08 17:38:58.874 +02:00 [INF] Built VBO for map 15601ad4-9f26-4abe-a6c9-3a7eebaa3045 'Forest' in 11.7153ms
2026-09-08 17:38:58.898 +02:00 [INF] Built VBO for map d490222a-af25-4a7f-bec3-7ca8016e08d7 'New Map' in 18.3839ms
2026-09-08 17:38:59.023 +02:00 [INF] Built VBO for map a31f210c-f5fb-48bf-9db2-45fab2293a4c 'Forest' in 122.0941ms
2026-09-08 17:38:59.080 +02:00 [INF] Built VBO for map 27c6a7b2-4e9f-4316-9a0f-e13ec8e16ba2 'Forest' in 53.4743ms
2026-09-08 17:38:59.109 +02:00 [INF] Built VBO for map e341d25d-5ff4-4cd6-bcd5-2f2cda710c86 'Greenfall Vale' in 27.6048ms
2026-09-08 17:39:04.434 +02:00 [INF] Client frame profile: measured=72.5fps counter=117 targetMode=-1; interval=13.79/610.35ms avg/max; update=0.31/35.07ms (1.00 calls/frame); draw=14.09/573.63ms; world=11.35/541.22ms [scene=10.94/531.73, scene-detail=[tiles=1.40ms/45.7draws (geometry=0.77ms/45.7draws, water=0.63ms/0.0draws), objects=7.21ms/86.5draws, procedural=0.01ms/0.0draws, entities=0.78ms/1.1draws, effects=0.52ms/1.7draws, weather=0.89ms/0.0draws, other=0.12ms], lighting=0.05/7.59, post=0.09/17.50, overlays=0.15/9.19, other=0.12]; gui=2.69/92.60ms [update=2.50/65.58 (minimap=1.92/42.78 [compact=1.92, fullmap=0.00/0.00], other=0.58), render=0.19/27.02, other=0.00]; finish=0.04/1.74ms; outside-update-draw=0.00ms; draws=154, maps=4, entities=23, lights=3
2026-09-08 17:39:09.438 +02:00 [INF] Client frame profile: measured=118.1fps counter=126 targetMode=-1; interval=8.47/21.98ms avg/max; update=0.07/3.93ms (1.00 calls/frame); draw=8.29/21.21ms; world=7.07/20.47ms [scene=6.87/20.09, scene-detail=[tiles=1.14ms/46.0draws (geometry=0.69ms/46.0draws, water=0.45ms/0.0draws), objects=4.75ms/87.0draws, procedural=0.00ms/0.0draws, entities=0.25ms/1.0draws, effects=0.06ms/2.0draws, weather=0.62ms/0.0draws, other=0.05ms], lighting=0.02/0.05, post=0.03/0.07, overlays=0.06/1.59, other=0.09]; gui=1.20/11.66ms [update=1.13/11.55 (minimap=0.84/11.04 [compact=0.84, fullmap=0.00/0.00], other=0.28), render=0.07/0.22, other=0.00]; finish=0.02/0.07ms; outside-update-draw=0.11ms; draws=154, maps=4, entities=17, lights=2
2026-09-08 17:39:14.440 +02:00 [INF] Client frame profile: measured=112.2fps counter=104 targetMode=-1; interval=8.92/51.47ms avg/max; update=0.12/10.91ms (1.00 calls/frame); draw=8.64/45.61ms; world=7.18/35.52ms [scene=6.98/35.24, scene-detail=[tiles=1.13ms/46.0draws (geometry=0.70ms/46.0draws, water=0.43ms/0.0draws), objects=4.80ms/87.0draws, procedural=0.00ms/0.0draws, entities=0.29ms/1.0draws, effects=0.08ms/2.0draws, weather=0.62ms/0.0draws, other=0.05ms], lighting=0.02/0.07, post=0.03/0.06, overlays=0.06/0.28, other=0.09]; gui=1.44/12.07ms [update=1.28/11.96 (minimap=0.97/11.47 [compact=0.97, fullmap=0.00/0.00], other=0.31), render=0.15/3.12, other=0.00]; finish=0.02/0.05ms; outside-update-draw=0.16ms; draws=177, maps=4, entities=23, lights=3
2026-09-08 17:39:19.441 +02:00 [INF] Client frame profile: measured=113.4fps counter=118 targetMode=-1; interval=8.82/21.76ms avg/max; update=0.08/2.57ms (1.00 calls/frame); draw=8.65/21.56ms; world=7.23/16.61ms [scene=7.01/16.24, scene-detail=[tiles=1.14ms/46.0draws (geometry=0.70ms/46.0draws, water=0.43ms/0.0draws), objects=4.86ms/87.0draws, procedural=0.00ms/0.0draws, entities=0.25ms/1.0draws, effects=0.08ms/2.0draws, weather=0.62ms/0.0draws, other=0.06ms], lighting=0.03/0.05, post=0.03/0.17, overlays=0.07/0.13, other=0.10]; gui=1.39/13.20ms [update=1.16/13.09 (minimap=0.84/12.62 [compact=0.84, fullmap=0.00/0.00], other=0.32), render=0.23/0.80, other=0.00]; finish=0.02/0.07ms; outside-update-draw=0.09ms; draws=154, maps=4, entities=23, lights=3
2026-09-08 17:39:24.446 +02:00 [INF] Client frame profile: measured=113.9fps counter=114 targetMode=-1; interval=8.78/19.30ms avg/max; update=0.08/0.37ms (1.00 calls/frame); draw=8.44/18.69ms; world=7.17/13.19ms [scene=6.95/12.95, scene-detail=[tiles=1.14ms/46.0draws (geometry=0.70ms/46.0draws, water=0.44ms/0.0draws), objects=4.82ms/87.0draws, procedural=0.00ms/0.0draws, entities=0.24ms/1.0draws, effects=0.08ms/2.0draws, weather=0.62ms/0.0draws, other=0.05ms], lighting=0.02/0.09, post=0.03/0.10, overlays=0.07/0.18, other=0.10]; gui=1.24/11.44ms [update=1.16/11.34 (minimap=0.87/10.91 [compact=0.87, fullmap=0.00/0.00], other=0.29), render=0.07/0.39, other=0.00]; finish=0.02/0.07ms; outside-update-draw=0.27ms; draws=154, maps=4, entities=23, lights=3
2026-09-08 17:39:29.451 +02:00 [INF] Client frame profile: measured=115.7fps counter=117 targetMode=-1; interval=8.64/26.54ms avg/max; update=0.08/5.43ms (1.00 calls/frame); draw=8.41/26.22ms; world=7.21/25.30ms [scene=6.95/10.74, scene-detail=[tiles=1.13ms/46.0draws (geometry=0.69ms/46.0draws, water=0.44ms/0.0draws), objects=4.83ms/87.0draws, procedural=0.00ms/0.0draws, entities=0.23ms/1.0draws, effects=0.08ms/2.0draws, weather=0.62ms/0.0draws, other=0.05ms], lighting=0.02/0.08, post=0.07/17.97, overlays=0.07/0.42, other=0.10]; gui=1.18/14.20ms [update=1.09/11.11 (minimap=0.81/10.63 [compact=0.81, fullmap=0.00/0.00], other=0.28), render=0.08/3.47, other=0.00]; finish=0.02/0.07ms; outside-update-draw=0.16ms; draws=154, maps=4, entities=23, lights=3
2026-09-08 17:39:34.468 +02:00 [INF] Client frame profile: measured=114.6fps counter=116 targetMode=-1; interval=8.72/24.77ms avg/max; update=0.09/4.74ms (1.00 calls/frame); draw=8.53/24.44ms; world=7.22/13.86ms [scene=6.99/13.60, scene-detail=[tiles=1.13ms/46.0draws (geometry=0.69ms/46.0draws, water=0.44ms/0.0draws), objects=4.85ms/87.0draws, procedural=0.00ms/0.0draws, entities=0.26ms/1.0draws, effects=0.08ms/2.0draws, weather=0.62ms/0.0draws, other=0.05ms], lighting=0.02/0.05, post=0.04/0.16, overlays=0.07/0.23, other=0.10]; gui=1.28/17.08ms [update=1.20/16.95 (minimap=0.91/16.48 [compact=0.91, fullmap=0.00/0.00], other=0.29), render=0.07/0.40, other=0.00]; finish=0.02/0.05ms; outside-update-draw=0.11ms; draws=155, maps=4, entities=23, lights=3
2026-09-08 17:39:39.474 +02:00 [INF] Client frame profile: measured=114.7fps counter=116 targetMode=-1; interval=8.72/19.52ms avg/max; update=0.07/6.62ms (1.00 calls/frame); draw=8.47/19.04ms; world=7.23/11.92ms [scene=7.02/11.55, scene-detail=[tiles=1.12ms/46.0draws (geometry=0.68ms/46.0draws, water=0.44ms/0.0draws), objects=4.87ms/87.0draws, procedural=0.00ms/0.0draws, entities=0.29ms/2.7draws, effects=0.07ms/2.0draws, weather=0.62ms/0.0draws, other=0.05ms], lighting=0.02/0.11, post=0.04/0.09, overlays=0.06/0.14, other=0.10]; gui=1.21/11.68ms [update=1.12/11.26 (minimap=0.83/10.86 [compact=0.83, fullmap=0.00/0.00], other=0.29), render=0.09/0.42, other=0.00]; finish=0.02/0.05ms; outside-update-draw=0.17ms; draws=156, maps=4, entities=23, lights=3
2026-09-08 17:39:44.474 +02:00 [INF] Client frame profile: measured=112.4fps counter=111 targetMode=-1; interval=8.90/19.86ms avg/max; update=0.07/0.47ms (1.00 calls/frame); draw=8.68/19.70ms; world=7.23/11.44ms [scene=7.01/11.18, scene-detail=[tiles=1.10ms/46.0draws (geometry=0.66ms/46.0draws, water=0.44ms/0.0draws), objects=4.81ms/87.0draws, procedural=0.00ms/0.0draws, entities=0.33ms/3.1draws, effects=0.08ms/2.0draws, weather=0.62ms/0.0draws, other=0.06ms], lighting=0.03/0.05, post=0.03/0.06, overlays=0.07/0.40, other=0.10]; gui=1.42/12.20ms [update=1.18/11.66 (minimap=0.89/11.15 [compact=0.89, fullmap=0.00/0.00], other=0.29), render=0.24/0.72, other=0.00]; finish=0.03/3.83ms; outside-update-draw=0.15ms; draws=181, maps=4, entities=23, lights=3
2026-09-08 17:39:49.481 +02:00 [INF] Client frame profile: measured=109.9fps counter=113 targetMode=-1; interval=9.10/25.59ms avg/max; update=0.12/10.65ms (1.00 calls/frame); draw=8.88/25.34ms; world=7.32/12.59ms [scene=7.10/12.18, scene-detail=[tiles=1.10ms/46.0draws (geometry=0.67ms/46.0draws, water=0.43ms/0.0draws), objects=4.86ms/87.0draws, procedural=0.00ms/0.0draws, entities=0.37ms/5.0draws, effects=0.08ms/2.0draws, weather=0.62ms/0.0draws, other=0.06ms], lighting=0.03/0.10, post=0.03/0.11, overlays=0.07/0.21, other=0.10]; gui=1.53/13.56ms [update=1.19/12.99 (minimap=0.90/11.94 [compact=0.90, fullmap=0.00/0.00], other=0.29), render=0.34/0.78, other=0.00]; finish=0.02/0.08ms; outside-update-draw=0.11ms; draws=181, maps=4, entities=23, lights=3
2026-09-08 17:39:54.490 +02:00 [INF] Client frame profile: measured=114.4fps counter=113 targetMode=-1; interval=8.74/18.38ms avg/max; update=0.07/0.40ms (1.00 calls/frame); draw=8.55/18.29ms; world=7.16/8.61ms [scene=6.95/8.38, scene-detail=[tiles=1.08ms/46.0draws (geometry=0.65ms/46.0draws, water=0.43ms/0.0draws), objects=4.78ms/87.0draws, procedural=0.00ms/0.0draws, entities=0.35ms/5.0draws, effects=0.07ms/2.0draws, weather=0.61ms/0.0draws, other=0.05ms], lighting=0.02/0.05, post=0.03/0.06, overlays=0.06/0.11, other=0.10]; gui=1.36/11.16ms [update=1.08/10.77 (minimap=0.83/10.37 [compact=0.83, fullmap=0.00/0.00], other=0.25), render=0.28/0.71, other=0.00]; finish=0.02/0.06ms; outside-update-draw=0.12ms; draws=183, maps=4, entities=23, lights=3
